region,city,date,time,temperature,max_temperature
NCR,Manila,2025-07-09,00:00,50.0,52.7
NCR,Manila,2025-07-09,01:00,52.9,53.9
NCR,Manila,2025-07-09,02:00,43.3,45.2
NCR,Manila,2025-07-09,03:00,55.2,56.8
NCR,Manila,2025-07-09,04:00,43.5,46.4
NCR,Manila,2025-07-09,05:00,59.0,60.1
NCR,Manila,2025-07-09,06:00,54.9,56.2
NCR,Manila,2025-07-09,07:00,59.8,60.9
NCR,Manila,2025-07-09,08:00,47.9,50.8
NCR,Manila,2025-07-09,09:00,59.4,61.2
NCR,Manila,2025-07-09,10:00,38.7,41.5
NCR,Manila,2025-07-09,11:00,38.0,39.4
NCR,Manila,2025-07-09,12:00,33.7,36.0
NCR,Manila,2025-07-09,13:00,45.8,48.0
NCR,Manila,2025-07-09,14:00,48.8,51.1
NCR,Manila,2025-07-09,15:00,47.4,48.4
NCR,Manila,2025-07-09,16:00,38.1,39.8
NCR,Manila,2025-07-09,17:00,44.3,46.5
NCR,Manila,2025-07-09,18:00,34.8,37.1
NCR,Manila,2025-07-09,19:00,58.9,60.2
NCR,Manila,2025-07-09,20:00,41.1,42.5
NCR,Manila,2025-07-09,21:00,50.8,53.4
NCR,Manila,2025-07-09,22:00,51.4,54.3
NCR,Manila,2025-07-09,23:00,59.4,60.6
NCR,Manila,2025-07-10,00:00,41.3,44.1
NCR,Manila,2025-07-10,01:00,54.7,56.8
NCR,Manila,2025-07-10,02:00,50.9,53.2
NCR,Manila,2025-07-10,03:00,49.9,51.7
NCR,Manila,2025-07-10,04:00,49.7,51.8
NCR,Manila,2025-07-10,05:00,41.7,44.3
NCR,Manila,2025-07-10,06:00,37.6,39.5
NCR,Manila,2025-07-10,07:00,38.0,39.9
NCR,Manila,2025-07-10,08:00,50.3,52.9
NCR,Manila,2025-07-10,09:00,35.4,38.2
NCR,Manila,2025-07-10,10:00,50.2,51.4
NCR,Manila,2025-07-10,11:00,55.2,58.1
NCR,Manila,2025-07-10,12:00,53.2,54.7
NCR,Manila,2025-07-10,13:00,50.1,52.8
NCR,Manila,2025-07-10,14:00,46.5,48.4
NCR,Manila,2025-07-10,15:00,38.6,40.0
